======================================================
  RELATÓRIO: EXPEDIÇÃO (mission_2)
  Min Heróis: 2
  Inimigos: 2x (HP:6 ATK:2), 1x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 2.3                | 1.0                | 0.0%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 2.6                | 1.3                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 3.3                | 2.0                | 0.0%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 2.8                | 1.2                | 0.8%               |
| Guerreiro + Mago + Curandeiro                 | 100.0%             | 0.0%               | 0.0%               | 3.7                | 2.2                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro           | 100.0%             | 0.0%               | 0.0%               | 6.2                | 3.6                | 0.0%               |
| Tanque + Tanque + Tanque                      | 99.3%              | 0.0%               | 0.7%               | 8.3                | 10.4               | 0.0%               |
| Tanque + Tanque + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 3.7                | 2.3                | 0.0%               |
| Tanque + Tanque + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.7                | 0.0%               |
| Tanque + Tanque + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.9                | 4.2                | 0.0%               |
| Tanque + Tanque + Curandeiro                  | 95.5%              | 0.0%               | 4.5%               | 12.9               | 16.5               | 0.0%               |
| Tanque + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.0                | 0.0%               |
